name,model,manufacturer,manufacturer_qid,wing_class,mass_dry_gross_kg,max_water_ballast_l,speed1_kmh,sink1_ms,speed2_kmh,sink2_ms,speed3_kmh,sink3_ms,wing_area_m2,wing_loading_kg_m2,flaps_mass_kg,flaps_count,flaps,span_m,span_source,fai_class,wikidata_qid,easa_tcds,easa_url
Dimona,Dimona,Diamond Aircraft Industries,Q699710,glider,670.0,100.0,100.0,-1.29,120.0,-1.61,150.0,-2.45,15.3,43.79,,,,16.33,easa,,Q1208684,EASA.A.066,https://www.easa.europa.eu/en/downloads/7392/en
Discus 2a,Discus 2a,Schempp-Hirth,Q185996,glider,330.0,195.0,110.0,-0.728,155.0,-1.26,200.0,-2.26,10.16,32.48,,,,15,easa,,Q7888128,EASA.A.050,https://www.easa.europa.eu/en/downloads/7425/en
Discus_2c_18m,Discus 2c,Schempp-Hirth,Q185996,glider,377.0,188.0,100.0,-0.57,120.0,-0.76,150.0,-1.33,11.36,33.19,,,,18,name,18m,Q7888128,,
Discus A,Discus A,Schempp-Hirth,Q185996,glider,350.0,182.0,103.77,-0.72,155.65,-1.55,190.24,-3.1,10.58,33.08,,,,15,easa,,Q1416538,EASA.A.050,https://www.easa.europa.eu/en/downloads/7425/en
Discus B from Cumulus Soaring  GN II,Discus B,Schempp-Hirth,Q185996,glider,325.0,184.0,100.0,-0.661,150.0,-1.439,200.0,-3.11,10.58,30.72,,,,15,easa,,Q1416538,EASA.A.050,https://www.easa.europa.eu/en/downloads/7425/en
Duo Discus (PAS),Duo Discus,Schempp-Hirth,Q185996,glider,628.0,201.0,106.5,-0.79,168.11,-1.54,201.31,-2.9,16.4,38.29,,,,20,easa,,Q1341050,EASA.A.074,https://www.easa.europa.eu/en/downloads/7376/en
Duo Discus (PIL),Duo Discus,Schempp-Hirth,Q185996,glider,537.0,201.0,94.06,-0.72,155.49,-1.43,188.21,-2.7,16.4,32.74,,,,20,easa,,Q1341050,EASA.A.074,https://www.easa.europa.eu/en/downloads/7376/en
Duo Discus XT (PAS),Duo Discus XT,Schempp-Hirth,Q185996,glider,700.0,50.0,110.0,-0.664,155.0,-1.206,200.0,-2.287,16.4,42.68,,,,20,easa,,Q1341050,EASA.A.074,https://www.easa.europa.eu/en/downloads/7376/en
Duo Discus XT (PIL),Duo Discus XT,Schempp-Hirth,Q185996,glider,580.0,170.0,100.0,-0.605,150.0,-1.271,200.0,-2.668,16.4,35.37,,,,20,easa,,Q1341050,EASA.A.074,https://www.easa.europa.eu/en/downloads/7376/en
DuoDiscus T (PAS),DuoDiscus T,Schempp-Hirth,Q185996,glider,615.0,80.0,103.0,-0.64,152.0,-1.25,200.0,-2.51,16.4,37.5,,,,20,easa,,Q1341050,EASA.A.074,https://www.easa.europa.eu/en/downloads/7376/en
EB_28,EB 28,,,glider,670.0,180.0,100.0,-0.46,120.0,-0.61,150.0,-0.96,16.8,39.88,,,,28,easa,open,Q863610,EASA.A.512,https://www.easa.europa.eu/en/downloads/7100/en
EB_28_Edition,EB 28 Edition,,,glider,670.0,180.0,100.0,-0.47,120.0,-0.63,150.0,-0.97,16.5,40.61,,,,28.3,easa,open,Q863610,EASA.A.512,https://www.easa.europa.eu/en/downloads/7100/en
Genesis II,Genesis II,UAB Sportine aviacija,Q3547120,glider,374.0,151.0,94.0,-0.61,141.05,-1.18,172.4,-2.0,11.24,33.27,,,,15,wikipedia,,Q2312580,,
Glasfluegel_304,Glasfluegel 304,Glasflügel,Q1468885,glider,305.0,145.0,100.0,-0.78,120.0,-0.97,150.0,-1.43,9.9,30.81,,,,15,easa,,Q1529455,EASA.A.241,https://www.easa.europa.eu/en/downloads/7218/en
Grob G-103 Twin II (PAS),Grob G-103 Twin II,Grob Aircraft,Q561036,glider,580.0,0.0,99.0,-0.8,175.01,-1.95,225.02,-3.8,17.52,33.11,,,,17.5,easa,,Q2482008,EASA.A.250,https://www.easa.europa.eu/en/downloads/7216/en
Grob G-103 Twin II (PIL),Grob G-103 Twin II,Grob Aircraft,Q561036,glider,494.0,0.0,90.75,-0.74,161.42,-1.8,207.54,-3.5,17.52,28.2,,,,17.5,easa,,Q2482008,EASA.A.250,https://www.easa.europa.eu/en/downloads/7216/en
H-201 Std Libelle,H-201 Std Libelle,Glasflügel,Q1468885,glider,304.0,50.0,97.0,-0.79,152.43,-1.91,190.54,-3.3,9.8,31.02,,,,15,easa,,Q5566714,EASA.A.241,https://www.easa.europa.eu/en/downloads/7218/en
H-205_Club_Libelle,H-205 Club Libelle,Glasflügel,Q1468885,glider,295.0,0.0,100.0,-0.85,120.0,-1.21,150.0,-2.01,9.8,30.1,,,,15,easa,,Q5566712,EASA.A.241,https://www.easa.europa.eu/en/downloads/7218/en
H-206_Hornet,H-206 Hornet,Glasflügel,Q1468885,glider,345.0,60.0,90.0,-0.64,150.0,-1.59,190.0,-2.91,9.8,35.2,,,,15,easa,,Q1529453,EASA.A.241,https://www.easa.europa.eu/en/downloads/7218/en
H-301 Libelle,H-301 Libelle,Glasflügel,Q1468885,glider,300.0,50.0,94.0,-0.68,147.71,-2.03,184.64,-4.1,9.8,30.61,,,,15,easa,,Q1529467,EASA.A.241,https://www.easa.europa.eu/en/downloads/7218/en
ICP_Savannah,ICP Savannah,,,microlight,472.5,0.0,100.0,-2.5,130.0,-3.3,160.0,-4.8,12.87,36.71,,,,,,,Q5969706,,
IS-28B2 Lark with 1 person,IS-28B2 Lark,Industria Aeronautică Română,Q292773,glider,520.0,0.0,80.0,-0.67,94.0,-0.768,180.0,-3.55,18.24,28.51,,,,17,easa,,Q12060660,EASA.A.453,https://www.easa.europa.eu/en/downloads/7112/en
IS-28B2 Lark with 2 person,IS-28B2 Lark,Industria Aeronautică Română,Q292773,glider,590.0,0.0,85.0,-0.67,100.0,-0.817,180.0,-3.1,18.24,32.35,,,,17,easa,,Q12060660,EASA.A.453,https://www.easa.europa.eu/en/downloads/7112/en
IS-29D2 Lark,IS-29D2 Lark,Industria Aeronautică Română,Q292773,glider,360.0,0.0,100.0,-0.82,135.67,-1.55,184.12,-3.3,10.4,34.62,,,,15,easa,,Q5969351,EASA.A.453,https://www.easa.europa.eu/en/downloads/7112/en
Janus B (18.2m PAS),Janus B,Schempp-Hirth,Q185996,glider,603.0,170.0,115.5,-0.76,171.79,-1.98,209.96,-4.0,17.4,34.66,,,,18.2,name,18m,Q2233237,,
Janus B (18.2m PIL),Janus B,Schempp-Hirth,Q185996,glider,508.0,170.0,105.7,-0.7,157.65,-1.82,192.68,-3.6,17.4,29.2,,,,18.2,name,18m,Q2233237,,
Ka-6CR,Ka-6CR,Alexander Schleicher GmbH & Co,Q565371,glider,310.0,0.0,87.35,-0.81,141.92,-2.03,174.68,-3.5,12.4,25.0,,,,15,wikipedia,,Q279906,,
Ka8b,Ka8b,Alexander Schleicher GmbH & Co,Q565371,glider,290.0,0.0,74.1,-0.76,101.9,-1.27,166.7,-4.64,14.15,20.49,,,,,,,Q1666190,,
L-33 SOLO,L-33 SOLO,LET Aircraft Industries,Q302544,glider,330.0,0.0,87.2,-0.8,135.64,-1.73,174.4,-3.4,11.0,30.0,,,,14.12,easa,,Q869111,EASA.A.045,https://www.easa.europa.eu/en/downloads/7434/en
LAK-19_15m,LAK-19,,,glider,285.0,195.0,100.0,-0.64,120.0,-0.85,150.0,-1.41,9.06,31.46,,,,15,name,,Q2312585,,
LAK-19_18m,LAK-19,,,glider,295.0,185.0,100.0,-0.6,120.0,-0.82,150.0,-1.34,9.8,30.1,,,,18,name,18m,Q2312585,,
Lak17A-15,Lak17A-15,UAB Sportine aviacija,Q3547120,glider,285.0,180.0,95.0,-0.574,148.0,-1.31,200.0,-2.885,9.06,31.46,325.0,4,0:2;90:1;110:0;150:-1,,,,Q2312589,,
Lak17A-18,Lak17A-18,UAB Sportine aviacija,Q3547120,glider,298.0,180.0,115.0,-0.68,158.0,-1.379,200.0,-2.975,9.8,30.41,330.0,4,0:2;90:1;110:0;150:-1,,,,Q2312589,,
LS-10s_15m,LS-10s,DG Flugzeugbau,Q449793,glider,370.0,170.0,100.0,-0.64,120.0,-0.8,150.0,-1.26,10.27,36.03,,,,15,easa,,Q2163977,EASA.A.095,https://www.easa.europa.eu/en/downloads/7339/en
LS-10s_18m,LS-10s,DG Flugzeugbau,Q449793,glider,380.0,220.0,100.0,-0.58,120.0,-0.75,150.0,-1.21,11.45,33.19,,,,18,easa,18m,Q2163977,EASA.A.157,https://www.easa.europa.eu/en/downloads/7284/en
LS-1C,LS-1C,Rolladen Schneider Flugzeugbau,Q462234,glider,350.0,91.0,115.87,-1.02,154.49,-1.84,193.12,-3.3,9.74,35.93,,,,15,easa,,Q2163975,EASA.A.095,https://www.easa.europa.eu/en/downloads/7339/en
