name,kind,elev_m,lon,lat
Puy de Sancy,mountain,1885,2.81151,45.53042
Qattara Depression,depression,-133,27.49625,30.0436
Qiajivik Mountain,mountain,1963,-75.93668,72.19068
Qingliang Feng,mountain,1787,118.8578,30.12111
Queen Mary's Peak,mountain,2060,-12.26671,-37.09366
Qurnat as Sawdā,mountain,3088,36.10338,34.31453
Ras Dejen,mountain,4533,38.37233,13.23675
Ras Koh,mountain,3003,65.18248,28.834
Redoubt Volcano,mountain,3108,-152.74005,60.49001
Ritacuba Blanco,mountain,5410,-72.30003,6.48998
Rock of Gibraltar,mountain,426,-5.34,36.13009
Roman-Kosh,mountain,1545,34.24795,44.62868
Round Mountain,mountain,1608,152.23465,-30.44036
Sabalon Kuh,mountain,4814,47.82202,38.25509
Sacajawea Peak,mountain,2999,-117.29669,45.25366
Saint Mary Peak,mountain,1171,138.54999,-31.50008
Sakurajima,mountain,1117,130.6502,31.58333
Salher,mountain,1567,73.92993,20.71149
San Gorgonio Mountain,mountain,3505,-116.82641,34.10768
Sapitwa Peak,mountain,3003,35.59,-15.95004
Saramati,mountain,3826,95.03994,25.72998
Selvili Tepe,mountain,1023,33.16998,35.32007
Senlin Shan,mountain,1498,130.63001,43.17999
Seraya,mountain,1162,165.60685,63.6418
Serra do Barbado,mountain,2033,-41.9071,-13.30375
Serra dos Carajás-Pico,mountain,898,-50.34922,-6.37482
Serra Namúli,mountain,2419,37.07205,-15.33343
Serrania de Santiago,mountain,1555,-60.02567,-18.11592
Seweweekspoort Peak,mountain,2325,21.36578,-33.39581
Shah Fuladi,mountain,5048,67.62771,34.6421
Shahi Kangri,mountain,6934,77.82998,35.16998
Shengtang Shan,mountain,1935,110.09978,23.98979
Shimbiris,mountain,2414,47.24289,10.73877
Sierra Blanca Peak,mountain,3649,-105.81001,33.37001
Sierra El Viejo,mountain,3500,-99.73241,24.0007
Signal de Botrange,mountain,694,6.09001,50.5
Sikaram,mountain,4755,69.90006,34.03999
Skalistyy Golets,mountain,2467,119.09805,56.40149
Slaettaratindur,mountain,882,-6.99444,62.30032
Slide Mountain,mountain,1274,-74.37971,42.0088
Snaefell,mountain,621,-4.46003,54.26009
Sněžka,mountain,1603,15.70999,50.74
Snowdon,mountain,1085,-4.09481,53.07254
Soira,mountain,3018,39.53004,14.75002
Sorak-san,mountain,1708,128.47293,38.14191
Soufrière Hills Volcano,mountain,914,-62.19009,16.72339
Spruce Knob,mountain,1482,-79.53521,38.71499
Summit Station,plateau,3238,-38.4533,72.58211
Sunzu,mountain,2067,31.58,-9.17985
Suur Munamagi,mountain,318,27.04993,57.71999
Taal Volcano,mountain,400,120.99282,14.00189
Tahat,mountain,2908,5.5263,23.28827
Tai Mo Shan,mountain,957,114.12003,22.41
Taibai Shan,mountain,3767,107.75012,33.95007
Takuan,mountain,2243,155.60525,-6.47919
Talo,mountain,4413,37.88222,10.6567
Tanekas,mountain,641,1.53004,10.34996
Tata Mailau,mountain,2986,125.49002,-8.90995
Tate-yama,mountain,3015,137.6289,36.59499
Tavan Bogd Uul,mountain,4374,87.81994,49.14995
Te Manga,mountain,652,-159.78911,-21.21218
Téna Kourou,mountain,747,-5.41004,10.77007
Tergun Bogd,mountain,3957,100.23825,45.00513
Thabana Ntlenyana,mountain,3482,29.2667,-29.4666
The Bluff,mountain,43,-79.73002,19.75001
Thudaka Mountain,mountain,2748,-126.85002,57.92999
Tianzhu Shan,mountain,1760,116.18986,31.06002
Tirich Mir,mountain,7708,71.83998,36.25001
Tomanivi,mountain,1323,178.01676,-17.61418
Torre de Cerredo,mountain,2648,-4.84504,43.1947
Torres del Paine,mountain,2500,-72.995,-50.95904
Town Hill,mountain,79,-64.76001,32.31001
Trapper Peak,mountain,3096,-114.31381,45.90638
Triglav,mountain,2864,13.83001,46.38006
Troglav,mountain,1913,16.60757,43.96052
Truchas Peak,mountain,3993,-105.64529,35.96291
Turpan Depression,depression,-154,89.34012,42.76869
Ukko Koli,mountain,347,29.8098,63.09009
Ulawun,mountain,2334,151.33327,-5.05014
Uludağ Tepe,mountain,2543,29.21839,40.09246
Uluru (Ayers Rock),mountain,863,131.03602,-25.34504
Ulysses Mountain,mountain,3024,-124.09002,57.35
Uncompahgre Peak,mountain,4361,-107.47705,38.073
Unzen-dake,mountain,1500,130.29435,32.75658
Vaalserberg,mountain,321,6.02005,50.76008
Vesuvio,mountain,1281,14.43337,40.81672
Vinson Massif,mountain,4892,-85.63373,-78.52936
Volcaán Villarrica,mountain,2847,-71.9382,-39.42353
Volcán Barú,mountain,3475,-82.54656,8.80813
Volcán de Colima,mountain,4330,-103.63391,19.56679
Volcán Domuyo,mountain,4709,-70.42004,-36.57988
Volcán Galeras,mountain,4276,-77.36662,1.21678
Volcan Karisimbi,mountain,4519,29.44991,-1.50004
Volcán Llullaillaco,mountain,6739,-68.53678,-24.7197
Volcán Popocatépetl,mountain,5420,-98.62261,19.03419
Volcán Tacaná,mountain,4067,-92.11003,15.13006
Volcán Tajumulco,mountain,4220,-91.89551,15.04346
Volcán Wolf,mountain,1707,-91.34607,0.05811
Volna,mountain,1585,154.9568,63.53606
Vostok Station (Rus.),plateau,3488,106.84001,-78.42717
Vulkan Alaid,mountain,2339,155.56995,50.86001
Vulkan Milna,mountain,1539,151.78534,46.81814
Wheeler Peak,mountain,3982,-114.31341,38.98626
White Hill,mountain,535,-60.61082,46.6977
White Mountain Peak,mountain,4342,-118.25999,37.63007
Wutai Shan,mountain,3058,113.57022,39.0876
Wuzhi Shan,mountain,1840,109.7125,18.91326
Yonaha-dake,mountain,498,128.21685,26.71614
Yu Shan,mountain,3952,120.95744,23.46991
Yunwu Shan,mountain,1867,116.70121,41.09639
Zard Kuh,mountain,4548,50.09001,32.37
Zugspitze,mountain,2963,10.97998,47.41998
