name,kind,elev_m,lon,lat
Er Richat Depression,depression,485,-11.37305,21.20552
Erciyes Dagi,mountain,3917,35.45,38.52995
Fan Si Pan,mountain,3142,103.77211,22.3133
Faure Peak,mountain,3940,-128.63,-85.71002
Feldberg,mountain,1493,8.01281,47.87725
Fenghuang Shan,mountain,2570,108.67832,27.8955
Finsteraarhorn,mountain,4274,8.13003,46.54001
Fishers Peak,mountain,2934,-104.46,37.09997
Fox Mountain,mountain,2404,-133.36999,61.91999
Fuji,mountain,3776,138.73094,35.35792
Fuji Station (Japan),plateau,3810,39.69766,-77.32278
Fuyul Sojol,mountain,3030,120.20139,0.61519
Galdhpiggen,mountain,2469,8.31268,61.63648
Gangkar Punsum,mountain,7570,90.45994,28.04999
Gannett Peak,mountain,4207,-109.65004,43.17999
Garet el Djenoun,mountain,2327,5.40909,25.04579
Gebel Katherna,mountain,2629,33.94994,28.5101
Geladandong,mountain,6621,91.08342,33.41662
Gerlach,mountain,2655,20.13206,49.17095
Golden Hinde,mountain,2195,-125.7586,49.67653
Gongga Shan,mountain,7556,101.87912,29.59578
Gora Arlan,mountain,1880,54.53995,39.67001
Gora Burun-Shibertuy,mountain,2519,109.98312,49.70008
Gora Chen,mountain,2690,141.82461,65.3042
Gora Cherskoga,mountain,2588,108.69997,55.03997
Gora Elbrus,mountain,5642,42.4392,43.35517
Gora Golets-Oblachnyy,mountain,2482,134.01708,57.62099
Gora Goverla,mountain,2058,24.51002,48.15999
Gora Kamen,mountain,1701,94.93985,69.13009
Gora Khuvkhoitun,mountain,2616,160.70364,57.93286
Gora Konzhakovskiy Kamen,mountain,1569,59.13449,59.63278
Gora Korolenko,mountain,1647,115.00711,58.28826
Gora Ledyanaya,mountain,2453,171.19187,61.90181
Gora Lopatina,mountain,1609,143.1371,50.85589
Gora Manas,mountain,4482,71.05421,42.29001
Gora Munku-Sardyk,mountain,3491,100.61656,51.71639
Gora Mus-Khaya,mountain,2959,140.8801,62.5913
Gora Narodnaya,mountain,1895,60.12344,65.02711
Gora Pobeda,mountain,3003,146.03988,65.19001
Gora Sedova,mountain,1549,57.81999,75.17
Gora Shkhara,mountain,5200,43.1,43.00001
Gora Stokap,mountain,1634,147.36601,44.84364
Gora Tardoki-Yani,mountain,2090,138.04994,48.89997
Gora Tastau,mountain,2992,82.49294,47.19948
Gora Tebulosmta,mountain,4494,45.29989,42.59011
Gora Yamantau,mountain,1638,58.11719,54.24349
Grand Ross,mountain,1850,69.51238,-49.57854
Grand Teton,mountain,4199,-110.8018,43.76337
Grandiozny Peak,mountain,2891,96.03858,53.92569
Grauspitze,mountain,2599,9.58,47.04999
Gros Morne,mountain,806,-57.78051,49.59838
Grossglockner,mountain,3798,12.69533,47.07471
Guadalupe Peak,mountain,2667,-104.86804,31.90137
Gugu,mountain,3626,39.95996,8.2101
Gunnbjørn Fjeld,mountain,3694,-29.89844,68.91948
Gunung Binaiya,mountain,3027,129.46754,-3.15949
Gunung Ciremay,mountain,3077,108.40931,-6.88779
Gunung Kerinci,mountain,3805,101.2709,-1.69796
Gunung Kinabalu,mountain,4101,116.54999,6.0834
Gunung Merapi,mountain,2968,110.44488,-7.54092
Gunung Rinjani,mountain,3726,116.45999,-8.40999
Gunung Semeru,mountain,3676,112.91992,-8.10786
Gunung Tahan,mountain,2190,102.23344,4.6335
Gunung Tambora,mountain,2722,118.00013,-8.25004
Gunung Umsini,mountain,2970,133.98267,-1.14993
Guru Sikhar,mountain,1722,72.7782,24.6567
Gyala Peri,mountain,7294,94.96998,29.81002
Haleakalā,mountain,3055,-156.221,20.71969
Halla-san,mountain,1950,126.52,33.35999
Haltiatunturi,mountain,1328,21.26004,69.30001
Har Meron,mountain,1208,35.41009,33.00002
Helan Shan,mountain,3540,105.9451,38.83717
Hkakabo Razi,mountain,5881,97.53993,28.33007
